t	x
8.21759	636097
8.22917	627317
8.24074	618472
8.25231	609564
8.26389	600592
8.27546	591559
8.28704	582465
8.29861	573310
8.31019	564097
8.32176	554825
8.33333	545496
8.34491	536110
8.35648	526670
8.36806	517175
8.37963	507627
8.3912	498026
8.40278	488374
8.41435	478671
8.42593	468920
8.4375	459120
8.44907	449272
8.46065	439378
8.47222	429439
8.4838	419456
8.49537	409429
8.50694	399360
8.51852	389250
8.53009	379100
8.54167	368911
8.55324	358683
8.56481	348419
8.57639	338119
8.58796	327784
8.59954	317415
8.61111	307013
8.62269	296580
8.63426	286116
8.64583	275623
8.65741	265101
8.66898	254552
8.68056	243976
8.69213	233376
8.7037	222751
8.71528	212104
8.72685	201435
8.73843	190744
8.75	180035
8.76157	169306
8.77315	158561
8.78472	147798
8.7963	137021
8.80787	126230
8.81944	115425
8.83102	104609
8.84259	93781.6
8.85417	82944.8
8.86574	72099.4
8.87731	61246.6
8.88889	50387.5
8.90046	39523.3
8.91204	28654.9
8.92361	17783.6
8.93519	6910.42
8.94676	-3963.44
8.95833	-14836.9
8.96991	-25708.8
8.98148	-36578.1
8.99306	-47443.6
9.00463	-58304.2
9.0162	-69158.8
9.02778	-80006.3
9.03935	-90845.6
9.05093	-101675
9.0625	-112495
9.07407	-123303
9.08565	-134098
9.09722	-144879
9.1088	-155646
9.12037	-166396
9.13194	-177129
9.14352	-187844
9.15509	-198540
9.16667	-209215
9.17824	-219869
9.18981	-230500
9.20139	-241107
9.21296	-251690
9.22454	-262246
9.23611	-272776
9.24769	-283277
9.25926	-293750
9.27083	-304192
9.28241	-314603
9.29398	-324981
9.30556	-335326
9.31713	-345636
9.3287	-355911
9.34028	-366149
9.35185	-376350
9.36343	-386512
9.375	-396634
9.38657	-406715
9.39815	-416754
9.40972	-426751
9.4213	-436703
9.43287	-446611
9.44444	-456473
9.45602	-466287
9.46759	-476054
9.47917	-485772
9.49074	-495439
9.50231	-505056
9.51389	-514621
9.52546	-524133
9.53704	-533591
9.54861	-542994
9.56019	-552341
9.57176	-561631
9.58333	-570864
9.59491	-580038
9.60648	-589152
9.61806	-598205
9.62963	-607197
9.6412	-616127
9.65278	-624993
9.66435	-633795
9.67593	-642532
9.6875	-651202
9.69907	-659806
9.71065	-668342
9.72222	-676809
9.7338	-685206
9.74537	-693533
9.75694	-701789
9.76852	-709972
9.78009	-718083
9.79167	-726120
9.80324	-734082
9.81481	-741968
9.82639	-749778
9.83796	-757511
9.84954	-765166
9.86111	-772743
9.87269	-780240
9.88426	-787657
9.89583	-794993
9.90741	-802247
9.91898	-809419
9.93056	-816507
9.94213	-823511
9.9537	-830431
9.96528	-837266
9.97685	-844014
9.98843	-850676
10	-857250
10.0116	-863736
10.0231	-870133
10.0347	-876441
10.0463	-882659
10.0579	-888786
10.0694	-894821
10.081	-900765
10.0926	-906616
10.1042	-912374
10.1157	-918038
10.1273	-923608
10.1389	-929082
10.1505	-934462
10.162	-939745
10.1736	-944932
10.1852	-950021
10.1968	-955013
10.2083	-959907
10.2199	-964702
10.2315	-969398
10.2431	-973994
10.2546	-978491
10.2662	-982886
10.2778	-987181
10.2894	-991374
10.3009	-995466
10.3125	-999455
10.3241	-1.00334e+06
10.3356	-1.00712e+06
10.3472	-1.0108e+06
10.3588	-1.01438e+06
10.3704	-1.01785e+06
10.3819	-1.02122e+06
10.3935	-1.02448e+06
10.4051	-1.02764e+06
10.4167	-1.03069e+06
10.4282	-1.03363e+06
10.4398	-1.03647e+06
10.4514	-1.03921e+06
10.463	-1.04183e+06
10.4745	-1.04435e+06
10.4861	-1.04676e+06
10.4977	-1.04907e+06
10.5093	-1.05126e+06
10.5208	-1.05335e+06
10.5324	-1.05533e+06
10.544	-1.0572e+06
10.5556	-1.05896e+06
10.5671	-1.06062e+06
10.5787	-1.06216e+06
10.5903	-1.0636e+06
10.6019	-1.06493e+06
10.6134	-1.06614e+06
10.625	-1.06725e+06
10.6366	-1.06825e+06
10.6481	-1.06914e+06
10.6597	-1.06992e+06
10.6713	-1.07058e+06
10.6829	-1.07114e+06
10.6944	-1.07159e+06
10.706	-1.07193e+06
10.7176	-1.07216e+06
10.7292	-1.07228e+06
10.7407	-1.07228e+06
10.7523	-1.07218e+06
10.7639	-1.07197e+06
10.7755	-1.07165e+06
10.787	-1.07121e+06
10.7986	-1.07067e+06
10.8102	-1.07002e+06
10.8218	-1.06926e+06
10.8333	-1.06838e+06
10.8449	-1.0674e+06
10.8565	-1.06631e+06
10.8681	-1.06511e+06
10.8796	-1.0638e+06
10.8912	-1.06238e+06
10.9028	-1.06085e+06
10.9144	-1.05921e+06
10.9259	-1.05746e+06
10.9375	-1.05561e+06
10.9491	-1.05364e+06
10.9606	-1.05157e+06
10.9722	-1.04939e+06
10.9838	-1.0471e+06
10.9954	-1.0447e+06
11.0069	-1.0422e+06
11.0185	-1.03959e+06
11.0301	-1.03687e+06
11.0417	-1.03405e+06
11.0532	-1.03112e+06
11.0648	-1.02808e+06
11.0764	-1.02494e+06
11.088	-1.02169e+06
11.0995	-1.01834e+06
11.1111	-1.01488e+06
11.1227	-1.01132e+06
11.1343	-1.00766e+06
11.1458	-1.00389e+06
11.1574	-1.00002e+06
11.169	-996043
11.1806	-991967
11.1921	-987788
11.2037	-983508
11.2153	-979126
11.2269	-974645
11.2384	-970063
11.25	-965381
11.2616	-960600
11.2731	-955720
11.2847	-950742
11.2963	-945667
11.3079	-940494
11.3194	-935224
11.331	-929859
11.3426	-924398
11.3542	-918842
11.3657	-913191
11.3773	-907446
11.3889	-901609
11.4005	-895678
11.412	-889656
11.4236	-883542
11.4352	-877337
11.4468	-871042
11.4583	-864658
11.4699	-858184
11.4815	-851623
11.4931	-844974
11.5046	-838238
11.5162	-831416
11.5278	-824508
11.5394	-817516
11.5509	-810439
11.5625	-803279
